evidence_id	source_group	subject_or_platform	professional_role	published_at	source_url	original_or_submitted_text	verification_status	evidence_tier	permitted_use	verification_note
BR-SOC-011	social_media_candidate	微博	not_verified	2025-07-24 00:00:00		SAE报告又要连夜写，所有数据手动整理，写完还要反复核对，又是一个通宵	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-012	social_media_candidate	微博	not_verified	2025-06-30 00:00:00		做临床最头疼的就是历史文档，找一份3年前的试验方案，翻遍了所有文件夹和邮件，太费劲了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-013	social_media_candidate	小红书	not_verified	2026-05-18 00:00:00		临床打工人日常👩‍⚕️，一半时间在写CRF，一半时间在改CRF，手已经不是自己的了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-014	social_media_candidate	小红书	not_verified	2026-04-20 00:00:00		家人们谁懂啊，一份几百页的临床方案，光是复制粘贴模板就花了3天，更别说后续的核对了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-015	social_media_candidate	小红书	not_verified	2026-03-10 00:00:00		每次项目交接都头大，老员工的经验全在脑子里，离职了什么都没留下，新人全靠试错	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-016	social_media_candidate	小红书	not_verified	2026-02-28 00:00:00		又到了TMF文档归档的日子，几百份文件要手动分类、编号、核对，腰已经坐废了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-017	social_media_candidate	小红书	not_verified	2026-01-15 00:00:00		写临床报告最崩溃的就是，改了一个数据，全文所有相关的地方都要手动改，生怕漏了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-018	social_media_candidate	小红书	not_verified	2025-12-20 00:00:00		临床研究员的加班日常，不是在写文档，就是在去写文档的路上，周末全用来补文档了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-019	social_media_candidate	小红书	not_verified	2025-11-12 00:00:00		谁能想到，我一个临床研究员，80%的技能都点在Word排版和Excel核对上了，专业知识全荒废了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-020	social_media_candidate	小红书	not_verified	2025-10-08 00:00:00		伦理申报材料改了又改，每次提意见都要手动修改全文，版本越改越乱，心态崩了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-021	social_media_candidate	小红书	not_verified	2025-09-15 00:00:00		找一份历史试验数据，翻了半天邮件和本地文件夹，终于找到了，结果格式还不对，还要手动整理	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-022	social_media_candidate	小红书	not_verified	2025-08-22 00:00:00		每次QA核查，都要手动准备几百份文档，每一份都要核对签名和版本，真的太煎熬了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-023	social_media_candidate	小红书	not_verified	2025-07-18 00:00:00		临床方案的逻辑核对，全靠人工一段段看，眼睛都看花了，还是会有遗漏，太难了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-024	social_media_candidate	小红书	not_verified	2025-06-25 00:00:00		入职一年，写过的文档堆起来比人还高，全是重复的模板和核对，什么时候能有点技术含量的工作啊	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-025	social_media_candidate	抖音	not_verified	2026-05-22 00:00:00		临床人谁懂啊，天天熬夜改方案，改到最后发现还是第一版好用	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-026	social_media_candidate	抖音	not_verified	2026-04-18 00:00:00		临床研究员的一天，不是在写文档，就是在核对文档，要不就是在改文档的路上	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-027	social_media_candidate	抖音	not_verified	2026-03-25 00:00:00		一份CSR报告，写了改改了写，前前后后折腾了两个月，人都麻了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-028	social_media_candidate	抖音	not_verified	2026-02-20 00:00:00		找历史试验方案找了三天，翻遍了所有同事的电脑，终于找到了，结果还不能用	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-029	social_media_candidate	抖音	not_verified	2026-01-28 00:00:00		GCP检查前夜，全科室都在手动整理文档，通宵的节奏，谁懂啊	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-030	social_media_candidate	抖音	not_verified	2025-12-15 00:00:00		临床研究员，表面上是医药专业人才，背地里是高级文档打字员+校对员	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-031	social_media_candidate	抖音	not_verified	2025-11-22 00:00:00		每次改方案，都要手动更新所有配套文件，改完一遍，又要改第二遍，无限循环	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-032	social_media_candidate	抖音	not_verified	2025-10-18 00:00:00		新人入职，没人带，全靠自己翻旧文档摸索，踩了无数坑，太难了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-033	social_media_candidate	抖音	not_verified	2025-09-25 00:00:00		数据核对核对到吐，一个数字错了，全篇都要改，眼睛都要看瞎了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-034	social_media_candidate	抖音	not_verified	2025-08-30 00:00:00		临床项目延期，90%都是因为文档改来改去，人工效率太低了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-035	social_media_candidate	抖音	not_verified	2025-07-22 00:00:00		SAE报告连夜赶工，所有数据手动整理，又是一个无眠之夜	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-036	social_media_candidate	抖音	not_verified	2025-06-28 00:00:00		做临床，最累的不是做试验，是写不完的文档和改不完的版本	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-037	social_media_candidate	快手	not_verified	2026-05-19 00:00:00		临床打工人实锤了，天天跟文档打交道，手都敲废了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-038	social_media_candidate	快手	not_verified	2026-04-22 00:00:00		谁懂啊，一份临床方案，改了10版，每次改都要全文核对，太折磨人了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-039	social_media_candidate	快手	not_verified	2026-03-18 00:00:00		临床研究员，一半时间在复制粘贴，一半时间在找历史文件，专业能力根本没地方发挥	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-040	social_media_candidate	快手	not_verified	2026-02-25 00:00:00		GCP检查来了，几百份文档手动整理，分类编号，人都快疯了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-041	social_media_candidate	快手	not_verified	2026-01-20 00:00:00		改一个数据，全篇所有相关文档都要手动改，生怕漏了一个，心态崩了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-042	social_media_candidate	快手	not_verified	2025-12-18 00:00:00		临床新人入职，老员工离职，经验全没了，全靠自己翻旧文档摸索，太难了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-043	social_media_candidate	快手	not_verified	2025-11-25 00:00:00		天天加班写文档，周末也不放过，临床人的命也是命啊	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-044	social_media_candidate	快手	not_verified	2025-10-20 00:00:00		伦理申报材料，改了又改，版本越改越乱，每次都要从头核对一遍	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-045	social_media_candidate	快手	not_verified	2025-09-28 00:00:00		找一份3年前的试验方案，翻遍了所有文件夹和邮件，找了整整两天，太费劲了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-046	social_media_candidate	快手	not_verified	2025-08-25 00:00:00		QA核查，手动准备几百份文档，每一份都要核对签名和版本，腰都坐断了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-047	social_media_candidate	快手	not_verified	2025-07-20 00:00:00		临床方案的逻辑核对，全靠人工一段段看，眼睛看花了还是会漏，太难了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-048	social_media_candidate	快手	not_verified	2025-06-22 00:00:00		入职两年，写的文档堆起来比人还高，全是重复工作，一点成长都没有	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-049	social_media_candidate	微博	not_verified	2026-05-25 00:00:00		临床研究员的日常，就是无穷无尽的文档撰写、修改、核对，重复劳动占了80%的工作时间	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-050	social_media_candidate	小红书	not_verified	2026-04-28 00:00:00		每次项目交接，最头疼的就是文档交接，历史经验全在个人电脑里，根本找不到	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-051	social_media_candidate	抖音	not_verified	2026-03-30 00:00:00		几百页的临床报告，手动排版、核对、改格式，一天下来脖子都僵了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-052	social_media_candidate	快手	not_verified	2026-02-10 00:00:00		药监飞检，所有文档要手动整理溯源，每一份都要找到对应的版本，太煎熬了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-053	social_media_candidate	微博	not_verified	2026-01-05 00:00:00		临床方案改了无数版，新旧版本混在一起，经常用错旧版本，出了问题全是人工背锅	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-054	social_media_candidate	小红书	not_verified	2025-12-28 00:00:00		新人入职培训，一半时间在教怎么找旧文档、怎么改模板，根本不是临床专业培训	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-SOC-055	social_media_candidate	抖音	not_verified	2025-11-15 00:00:00		数据录入手动填，填错一个数字，后面所有的报告都要改，连锁反应太可怕了	unverified_candidate	INTERNAL	Interview-guide design and internal hypothesis generation only	No post URL, author ID, screenshot, collection log, or sampling rule was supplied; do not treat as quantitative or first-hand user evidence.
BR-EXP-001	expert_public_material	李菲 | 新华网（新华访谈）	南昌大学一附院临床试验机构副主任	2026-05-19 00:00:00	http://jx.xinhuanet.com/20260519/e3d2473dbb914cdca8d42fb5a2bcfdd3/c.html	日常临床人工环节多、合规核查繁琐，人工平衡项目进度与质控难度极大，大量重复性文档核对占用临床研究员核心工作时间，人员长期陷入低价值文书工作。	unverified	INTERNAL	Internal lead only; do not cite in competition materials	Given Xinhua URL could not be independently verified on 2026-07-17.
BR-EXP-002	expert_public_material	郭翔 | 同写意新药产业媒体	百济神州高级副总裁、统计与数据科学负责人	2025-11-20 00:00:00	https://www.tonacea.com/HUIYI_1/799.html	传统临床全人工文档整理、多版本方案校对、海量历史资料人工翻阅，人力消耗巨大；多中心申报材料纯人工撰写修改周期极长，重复文书工作挤占临床研发核心投入。	verified_with_summary_correction	D	Industry evidence for AI-assisted protocol drafting, human review, structured metadata, and change propagation	Official interview exists. Submitted summary overstates manual document handling; use the corrected claims in the audit report.
BR-EXP-003	expert_public_material	张嵩 | 太美医疗官网行业专访	太美医疗 B2B 项目总监（DIA 论坛专访）	2026-01-30 00:00:00	https://cn.taimei.com/cn/6026	CRC、临床研究员单人承担多项目，人工归档 eTMF、手动核对试验方案、跨多方沟通协调，重复性事务持续增加，行业专业人才流失率偏高。	verified_with_summary_correction	D	Industry evidence for CRC workload, multi-party coordination burden, and digital workflow demand	Official page exists. It does not directly support the submitted eTMF and manual protocol-checking wording.
BR-EXP-004	expert_public_material	北大临床研究所调研专家组 | 北京大学临床医学高等研究院官网	13 位科研管理者、41 位临床研究员深度访谈	2025-01-01 00:00:00	https://iacm.bjmu.edu.cn/kxyj/kydt/ba1554b849c547159cb5bbb0bc6a460e.htm	临床机构普遍缺少专职数字化人员，全部试验审查、文档归档、数据录入依靠人工，人力资源缺口大，重复行政文书占用科研精力。	verified_with_material_correction	B	Institutional evidence for IIT management resource and full-lifecycle governance gaps	Official page reports 74 interviewees: 13 institutional managers, 41 department-level administrators, and 20 senior researchers. Submitted role labels and manual-document claim are inaccurate.
BR-EXP-005	expert_public_material	Krishna Cheriath | Applied Clinical Trials 官网	赛默飞临床数字化副总裁（Applied Clinical Trials 海外专访）	2026-04-01 00:00:00	https://www.appliedclinicaltrialsonline.com/view/patient-first-digital-strategy-practice	全球临床运营团队每日被大量人工行政文档工作挤占，重复性数据整理、版本比对消耗绝大多数工作时长。	verified_with_date_correction	D	Industry evidence for reducing site administrative burden, knowledge synthesis, and human-AI augmentation	Official interview exists and is dated 2026-04-07, not 2026-04-01.
