source_id	module	mapping_strength	how_used	next_processing_action
SOA-005	Protocol Unit Catalog	medium	Protocol template with SoA section for validating document units	extract headings and SoA placement
SOA-006	Template Index	low	Template collection context for protocol and source-document workflows	catalog only
SOA-007	Schedule of Activities	high	Method evidence for automated protocol template and SoA generation	use in technical narrative for structured generation
SOA-008	Protocol Unit Catalog	high	Updated SPIRIT 2025 statement and timeline requirements	update checklist references
SOA-009	Synthetic Benchmark	medium	Public protocol/SAP example for SoA format reference	use only for format inspiration, not as private data
SOA-010	Schedule of Activities	medium	PRO-specific protocol template for assessment windows and patient-reported outcomes	map PRO assessment dependencies
COMP-001	Competitor Analysis	high	Supports direct comparison with protocol quality and ambiguity-checking platforms	verify public claims and map overlapping features
COMP-002	Competitor Analysis	high	Supports direct comparison with clinical document AI workspace positioning	verify claimed drafting, QC and review workflow
COMP-003	Product Boundary	high	Shows why Word-centered authoring remains important for formal document workflows	define TrialCompiler-Feishu-Word handoff boundary
COMP-004	Competitor Analysis	medium	Public REVIEW page was blocked; placeholder retained for manual review	manual source review before external claims
COMP-005	Competitor Analysis	high	Supports comparison with protocol intelligence and structured authoring products	map generation-only versus fact-governance differences
COMP-006	Competitor Analysis	medium	Provides background for Clinials positioning and protocol extraction claims	verify exact claims before submission
COMP-007	China Market Fit	high	Supports comparison with local clinical operations/document workflow systems	map China pharma workflow and deployment requirements
COMP-008	China Market Fit	high	Links ICH M11, AI agents and China clinical data/document workflows	use to refine local adaptation narrative
COMP-009	Platform Boundary	high	Supports positioning TrialCompiler as semantic governance layer above clinical operations platforms	define integration rather than replacement stance
COMP-010	Adjacent Product	medium	Supports comparison with study document assistant category	use as adjacent competitor and feature-boundary reference
COMP-011	Upstream Design Boundary	high	Positions IQVIA as upstream protocol design optimization rather than downstream document compiler	manual verify claims and mark as adjacent competitor
COMP-012	Upstream Design Boundary	high	Positions Medidata Protocol Optimization as upstream scenario and feasibility optimization	use to separate TrialCompiler from protocol optimization platforms
COMP-013	Upstream Design Boundary	medium	Supports Medidata platform context for feasibility and analytics rather than document compilation	map platform integration opportunities
STAND-013	Standards Alignment	high	Supports digital data flow and structured study definition direction	align Trial Fact Sheet and document graph fields with DDF/USDM concepts
STAND-014	Standards Alignment	high	Supports USDM onboarding and implementation narrative	extract concepts relevant to Trial Fact Sheet schema
STAND-015	Standards Alignment	high	Provides public implementation reference for USDM structured study definitions	compare schema fields with TrialDocBench case schema
ASSOC-025	Associated Document Graph	high	Supports clinical content reuse across protocol, SAP and CSR assets	use for document-unit and reusable content mapping
ASSOC-026	Associated Document Graph	high	Supports clinical content reuse initiative and machine-readable document direction	use in architecture story for content reuse plus active testing
STAND-016	Standards Alignment	high	Supports document-centric to data-centric clinical trial protocol digitalization	use as standards evidence for compiler metaphor
STAND-017	Protocol Template Baseline	medium	Supports Common Protocol Template baseline and structured common text	use as baseline for why templates are necessary but insufficient
