source_id,title,organization_or_journal,year,url,source_type,topic,use_for_trialcompiler,relevant_position,access_status,local_path,notes
MED-014,ICH E8(R1) General Considerations for Clinical Studies,ICH,2021,https://database.ich.org/sites/default/files/E8-R1_Guideline_Step4_2021_1006.pdf,regulatory_guideline,clinical_study_design,Supports quality by design and critical-to-quality factors for protocol design,quality by design sections,public_pdf,references/inbox/medical/ICH_E8_R1_2021.pdf,Useful for global quality function
MED-015,ICH E9 Statistical Principles for Clinical Trials,ICH,1998,https://database.ich.org/sites/default/files/E9_Guideline.pdf,regulatory_guideline,statistics,Supports statistical principle constraints such as endpoints analyses and bias control,statistical principles sections,public_pdf,references/inbox/medical/ICH_E9_Statistical_Principles.pdf,Use for SAP-related constraints
MED-016,ICH E9(R1) Addendum on Estimands and Sensitivity Analysis,ICH,2019,https://database.ich.org/sites/default/files/E9-R1_Step4_Guideline_2019_1203.pdf,regulatory_guideline,estimands_statistics,Provides endpoint estimand language and treatment-policy considerations that affect protocol/SAP consistency,estimand framework,public_pdf,references/inbox/medical/ICH_E9_R1_Estimands.pdf,Good source for semantic consistency tests
MED-017,When and how can endpoints be changed after initiation of a randomized clinical trial,PLoS Clinical Trials / PMC,2007,https://pmc.ncbi.nlm.nih.gov/articles/PMC1852589/,research_article,endpoint_changes,Supports caution around endpoint changes and need to update protocol analysis plan and registry record,discussion of protocol amendments and registry updates,public_html,references/inbox/medical/Endpoint_Changes_PMC.html,Useful for Week 12 to Week 16 style change-impact examples
MED-018,Common Clinical Trial Amendments why they are submitted and why they are not,PMC,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9811046/,research_article,protocol_amendments,Open article on why amendments occur and their resource burden; supports the pain-point evidence base,background and amendment categories,public_html,references/inbox/medical/Common_Clinical_Trial_Amendments_PMC.html,Open source for amendment taxonomy
MED-019,The Impact of Protocol Amendments on Clinical Trial Performance and Cost,PubMed / Therapeutic Innovation and Regulatory Science,2016,https://pubmed.ncbi.nlm.nih.gov/30227022/,research_metadata,protocol_amendments_cost,Provides cited quantitative evidence about amendment frequency avoidability and costs; only metadata/abstract if full text inaccessible,abstract and bibliographic metadata,metadata_only,references/inbox/medical/Protocol_Amendments_PubMed.html,Do not use non-authorized full text
MED-020,The Impact of Protocol Amendments on Clinical Trial Performance and Cost,SAGE Journals,2016,https://journals.sagepub.com/doi/abs/10.1177/2168479016632271,research_metadata,protocol_amendments_cost,Publisher landing page for amendment cost evidence; useful as citation and abstract metadata,abstract and citation,metadata_only,references/inbox/medical/Protocol_Amendments_SAGE.html,Access limited; do not scrape paywalled full text
MED-021,New Benchmarks on Protocol Amendment Practices Trends and their Impact on Clinical Trial Performance,PubMed / Therapeutic Innovation and Regulatory Science,2024,https://pubmed.ncbi.nlm.nih.gov/38438658/,research_metadata,protocol_amendments_trends,Follow-up benchmark source for amendment trends and impact; useful for updated pain-point evidence,abstract and bibliographic metadata,metadata_only,references/inbox/medical/New_Benchmarks_Protocol_Amendments_PubMed.html,Metadata only unless full text is open
MED-022,Development of a protocol complexity tool a framework designed to simplify clinical trials,PMC,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12395810/,research_article,protocol_complexity,Supports complexity measurement and motivates protocol simplification without compromising quality,methods and framework,public_html,references/inbox/medical/Protocol_Complexity_Tool_PMC.html,Useful for evaluation dimensions
MED-023,ICH Guidance Documents,US FDA,2026,https://www.fda.gov/science-research/clinical-trials-and-human-subject-protection/ich-guidance-documents,regulatory_index,regulatory_sources,Official FDA index of ICH guidance documents for cross-checking ICH references,index page,public_html,references/inbox/medical/FDA_ICH_Guidance_Index.html,Useful as navigation source
BUS-001,Veeva Clinical Operations,Veeva Systems,2026,https://www.veeva.com/products/clinical-operations/,product_page,clinical_operations_platform,Competitor/source for unified clinical operations platform and shared clinical data model,product overview,public_html,references/inbox/business/Veeva_Clinical_Operations.html,Use only official claims
BUS-002,Veeva Clinical Platform,Veeva Systems,2026,https://www.veeva.com/products/veeva-clinical-platform/,product_page,clinical_platform,Shows platform-level unification across clinical operations regulatory safety and data,platform overview,public_html,references/inbox/business/Veeva_Clinical_Platform.html,Official competitor reference
BUS-003,Veeva Disclosures Creating Registrations and Protocols,Veeva Vault Help,2025,https://clinical.veevavault.help/en/lr/899718/,product_documentation,protocol_registration,Shows operational handling of protocol records and registration records in Veeva,help page,public_html,references/inbox/business/Veeva_Registrations_Protocols_Help.html,Useful for document-data relationship comparison
BUS-004,Oracle Clinical One overview solution brief,Oracle,2021,https://www.oracle.com/a/ocom/docs/industries/life-sciences/clinical-one-overview-solution-brief.pdf,product_sheet,eclinical_platform,Official product sheet on unified eClinical platform and workflow integration,whole solution brief,public_pdf,references/inbox/business/Oracle_Clinical_One_Overview.pdf,Competitor platform evidence
BUS-005,Oracle Clinical Trial Data Collection,Oracle,2026,https://www.oracle.com/ae/life-sciences/clinical-trial-data-collection/,product_page,clinical_data_collection,Official claims about streamlining setup supply management and protocol changes,product overview,public_html,references/inbox/business/Oracle_Clinical_Trial_Data_Collection.html,Use as downstream protocol-change comparison
BUS-006,Applying Protocol Amendments to Sites and Clinical Subjects,Oracle Documentation,2026,https://docs.oracle.com/cd/G26828_01/books/CTMS/c-Applying-Protocol-Amendments-to-Sites-and-Clinical-Subjects--ad1003746.html,product_documentation,protocol_amendment_operations,Shows concrete downstream objects affected by a protocol amendment such as visit template version and visit schedules,help page,public_html,references/inbox/business/Oracle_Applying_Protocol_Amendments.html,Very relevant to change-impact propagation
BUS-007,Medidata AI,Medidata,2026,https://www.medidata.com/en/clinical-trial-products/medidata-ai/,product_page,clinical_trial_ai,Competitor evidence for AI embedded across trial lifecycle and eliminating rework,product overview,public_html,references/inbox/business/Medidata_AI.html,Use official numerical claims carefully
BUS-008,Medidata Clinical Data Studio,Medidata,2026,https://www.medidata.com/en/data-experience/clinical-data-studio/,product_page,clinical_data_quality,Competitor source for AI-assisted clinical data review and data quality management,FAQ and overview,public_html,references/inbox/business/Medidata_Clinical_Data_Studio.html,Adjacent not direct protocol authoring
BUS-009,AI in Clinical Study Builds redefining EDC efficiency,Medidata,2025,https://www.medidata.com/en/life-science-resources/medidata-blog/ai-study-build/,blog_product,protocol_to_edc,Shows market trend of turning static protocol documents into dynamic data collection structures,study build process,public_html,references/inbox/business/Medidata_AI_Study_Build.html,Strong conceptual comparator
BUS-010,Clinical Data Studio press release,Medidata / Dassault Systemes,2024,https://www.3ds.com/newsroom/press-releases/medidata-launches-clinical-data-studio-leveraging-ai-modernize-data-experience-clinical-trials,press_release,clinical_data_ai,Official press release with efficiency claims for AI data review and reconciliation,press release body,public_html,references/inbox/business/Medidata_Clinical_Data_Studio_PR.html,Use as vendor claim not independent proof
BUS-011,Kitsa AI-powered clinical trial documentation,Kitsa,2026,https://kitsa.ai/resources/ai-powered-documentation,product_page,ai_protocol_authoring,Direct competitor for AI-powered protocols ICFs CSRs and SAPs with audit-ready traceability,product page,public_html,references/inbox/business/Kitsa_AI_Documentation.html,Very relevant competitor
BUS-012,Kitsa Tech Mahindra agentic AI medical writing partnership,Tech Mahindra / Kitsa,2026,https://www.techmahindra.com/insights/news/kitsa-and-tech-mahindra-collaborate-for-next-gen-pharma-solutions/,press_release,agentic_medical_writing,Shows agentic AI positioning in protocol development and regulatory authoring,press release details,public_html,references/inbox/business/Kitsa_TechMahindra_Partnership.html,Useful for market trend
BUS-013,Clinical Trial Protocol Optimization with Generative AI,Clinion,2025,https://www.clinion.com/insight/simplifying-clinical-trial-protocol-with-genai/,vendor_blog,ai_protocol_authoring,Vendor discussion emphasizing protocol writing as decision integration and traceability,blog article,public_html,references/inbox/business/Clinion_GenAI_Protocol.html,Use as non-authoritative market signal
BUS-014,AI Clinical Trial Documentation protocols ICFs CSRs SAPs,Kitsa,2026,https://kitsa.ai/blog,blog_index,ai_regulatory_writing,Shows competitor's content taxonomy around AI regulatory writing and clinical trial documentation,blog index,public_html,references/inbox/business/Kitsa_Blog_Index.html,Useful for competitor vocabulary
BUS-015,Medical Writing Automatic Clinical Protocol Generation,CARA Life Sciences,2026,https://www.caralifesciences.generiscorp.com/clinical-solutions/medical-writing-automatic-clinical-protocol-generation/,product_page,structured_content_authoring,Direct product reference for data-to-document tools and component-based authoring,product page,public_html,references/inbox/business/CARA_Automatic_Protocol_Generation.html,Relevant prior-art comparator
BUS-016,TrialAssure clinical data transparency software leader,TrialAssure,2026,https://trialassure.com/,product_page,clinical_transparency,Adjacent competitor for disclosure anonymization lay summaries and registry activities,homepage overview,public_html,references/inbox/business/TrialAssure_Home.html,Not direct protocol compiler but important adjacent tool
BUS-017,TrialAssure ANONYMIZE data anonymization transparency software,TrialAssure,2026,https://trialassure.com/software/anonymize/,product_page,document_anonymization,Useful for privacy/anonymization competitor matrix and enterprise governance section,product page,public_html,references/inbox/business/TrialAssure_Anonymize.html,Adjacent privacy product
BUS-018,Narrativa Clinical Atlas protocol clinical trials automation with AI agents,Narrativa,2026,https://www.narrativa.com/protocol-clinical-trials-automation-with-ai-agents/,product_blog,protocol_ai_agents,Direct market signal for specialized protocol agents covering design burden analysis and compliance auditing,article body,public_html,references/inbox/business/Narrativa_Protocol_AI_Agents.html,Need verify claims as vendor self-description
BUS-019,Paperguide Clinical Trial Design and Protocol Writing,Paperguide,2026,https://paperguide.ai/solutions/clinical-trails/,product_page,research_backed_protocol_writing,Competitor/reference for research-backed protocol writing with citations,product page,public_html,references/inbox/business/Paperguide_Clinical_Trials.html,Note spelling in URL is clinical-trails
BUS-020,Clinical Trials Protocol Authoring using LLMs,arXiv,2024,https://arxiv.org/abs/2404.05044,research_preprint,llm_protocol_authoring,Academic/public technical baseline for LLM-assisted protocol section generation,abstract and methodology,public_html,references/inbox/business/Clinical_Trials_Protocol_Authoring_LLMs_arXiv.html,Useful baseline for why our graph/testing approach differs
GOV-001,Reflection paper on the use of artificial intelligence in the medicinal product lifecycle,European Medicines Agency,2024,https://www.ema.europa.eu/en/documents/scientific-guideline/reflection-paper-use-artificial-intelligence-ai-medicinal-product-lifecycle_en.pdf,regulatory_reflection,ai_governance,Supports human oversight data governance validation transparency and lifecycle risk framing,whole reflection paper,public_pdf,references/inbox/ai_governance/EMA_AI_Medicinal_Product_Lifecycle_Reflection.pdf,Important for AI boundary
GOV-002,Using Artificial Intelligence and Machine Learning in the Development of Drug and Biological Products,US FDA,2025,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/using-artificial-intelligence-and-machine-learning-development-drug-and-biological-products,guidance_page,ai_drug_development,Official FDA guidance page for AI/ML in drug development; useful for risk-based credibility and model lifecycle discussion,overview and guidance link,public_html,references/inbox/ai_governance/FDA_AI_ML_Drug_Development.html,Do not overclaim beyond scope
GOV-003,Ethics and governance of artificial intelligence for health,World Health Organization,2021,https://www.who.int/publications/i/item/9789240029200,governance_report,ai_health_ethics,Supports human autonomy transparency responsibility inclusiveness and data protection principles,report overview,public_html,references/inbox/ai_governance/WHO_AI_Health_Ethics.html,Useful for safety/privacy story
GOV-004,Artificial Intelligence in Drug Development,US FDA,2026,https://www.fda.gov/drugs/development-resources/artificial-intelligence-drug-development,regulatory_page,ai_drug_development,FDA resource hub for AI in drug development and regulatory science,resource page,public_html,references/inbox/ai_governance/FDA_AI_Drug_Development_Resource.html,Good source hub
GOV-005,Good Machine Learning Practice for Medical Device Development Guiding Principles,FDA Health Canada MHRA,2021,https://www.fda.gov/medical-devices/software-medical-device-samd/good-machine-learning-practice-medical-device-development-guiding-principles,guiding_principles,ai_quality,Although device-focused it gives practical AI lifecycle and monitoring principles useful as general analogies,guiding principles,public_html,references/inbox/ai_governance/FDA_GMLP_Guiding_Principles.html,Mark as analogy not direct drug-document rule
